"source","target","action"
"ANAPC4","CCNB2",-1
"ANAPC5","FZR1",1
"ANAPC5","ANAPC10",1
"ANAPC5","CDC26",1
"ANAPC5","ANAPC13",1
"ANAPC5","ANAPC2",1
"ANAPC5","ANAPC4",1
"ANAPC5","ANAPC5",1
"ANAPC5","ANAPC7",1
"ANAPC5","ANAPC11",1
"ANAPC5","ANAPC1",1
"ANAPC5","CDC23",1
"ANAPC5","CDC16",1
"ANAPC5","CDC27",1
"ANAPC5","CDK1",-1
"ANAPC5","PTTG2",-1
"ANAPC5","PTTG1",-1
"ANAPC5","CCNB3",-1
"ANAPC5","CCNB1",-1
"ANAPC5","CCNB2",-1
"ANAPC7","FZR1",1
"ANAPC7","ANAPC10",1
"ANAPC7","CDC26",1
"ANAPC7","ANAPC13",1
"ANAPC7","ANAPC2",1
"ANAPC7","ANAPC4",1
"ANAPC7","ANAPC5",1
"ANAPC7","ANAPC7",1
"ANAPC7","ANAPC11",1
"ANAPC7","ANAPC1",1
"ANAPC7","CDC23",1
"ANAPC7","CDC16",1
"ANAPC7","CDC27",1
"ANAPC7","CDK1",-1
"ANAPC7","PTTG2",-1
"ANAPC7","PTTG1",-1
"ANAPC7","CCNB3",-1
"ANAPC7","CCNB1",-1
"ANAPC7","CCNB2",-1
"APAF1","CASP9",1
"APC","ARHGEF4",1
"APC2","ARHGEF4",1
"APH1A","NOTCH1",1
"APH1A","NOTCH2",1
"APH1A","NOTCH3",1
"APH1A","NOTCH4",1
"APH1B","NOTCH1",1
"APH1B","NOTCH2",1
"APH1B","NOTCH3",1
"APH1B","NOTCH4",1
"AR","AR",1
"AR","KLK3",1
"ARAF","MAP2K2",1
"ARAF","MAP2K1",1
"AREG","EGFR",1
"ARHGAP35","RHOA",-1
"ARHGAP5","RHOA",-1
"ARHGEF1","RHOA",1
"ARHGEF12","RHOA",1
"ARHGEF4","RAC1",1
"ARHGEF4","RAC2",1
"ARHGEF4","RAC3",1
"ARHGEF6","RAC1",1
"ARHGEF6","RAC2",1
"ARHGEF6","RAC3",1
"ARHGEF6","GIT1",1
"ARHGEF6","ARHGEF12",-1
"ARHGEF6","ARHGEF1",-1
"ARHGEF7","RAC1",1
"ARHGEF7","RAC2",1
"ARHGEF7","RAC3",1
"ARHGEF7","GIT1",1
"ARHGEF7","ARHGEF12",-1
"ARHGEF7","ARHGEF1",-1
"ATF4","DDIT3",1
"ATG10","ATG5",1
"ATG12","ATG7",1
"ATG5","ATG16L1",1
"ATG5","ATG16L2",1
"ATG7","ATG7",1
"ATG7","ATG3",1
"ATG7","ATG10",1
"ATM","TP53",1
"ATM","CHEK1",1
"ATM","CHEK2",1
"ATR","TP53",1
"ATR","CHEK1",1
"ATR","CHEK2",1
"AURKA","CPEB2",1
"AURKA","CPEB3",1
"AURKA","CPEB1",1
"AURKA","CPEB4",1
"AVPR1A","GNA11",1
"AVPR1A","GNA15",1
"AVPR1A","GNAQ",1
"AVPR1A","GNA14",1
"AVPR1B","GNA11",1
"AVPR1B","GNA15",1
"AVPR1B","GNAQ",1
"AVPR1B","GNA14",1
"BAD","BCL2L1",-1
"BAD","BCL2",-1
"BAIAP2","ACTB",1
"BAIAP2","ACTG1",1
"BAIAP2","WASF2",1
"BAIAP2","ENAH",1
"BAMBI","TGFBR1",-1
"BAMBI","ACVR1B",-1
"BAMBI","ACVR1",-1
"BAMBI","BMPR1A",-1
"BAMBI","BMPR1B",-1
"BAMBI","FZD10",1
"BAMBI","FZD2",1
"BAMBI","FZD5",1
"BAMBI","FZD3",1
"BAMBI","FZD1",1
"BAMBI","FZD4",1
"BAMBI","FZD6",1
"BAMBI","FZD7",1
"BAMBI","FZD8",1
"BAMBI","FZD9",1
"BAMBI","DVL1",1
"BAMBI","DVL2",1
"BAMBI","DVL3",1
"BAMBI","LRP6",1
"BAMBI","LRP5",1
"BBC3","TP53",1
"BBC3","BCL2L1",-1
"BBC3","BCL2",-1
"BBC3","TP53AIP1",1
"BCAR1","CRK",1
"BCAR1","CRKL",1
"BCAR1","DOCK1",1
"BCL2","BAX",-1
"BCL2","CYCS",-1
"BCL2","BAK1",-1
"BCL2L1","BAX",-1
"BCL2L1","BAK1",-1
"BCL2L11","BCL2L1",-1
"BCL2L11","BCL2",-1
"BCL2L11","BAX",1
"BCR","GRB2",1
"BCR","CRK",1
"BCR","CRKL",1
"BCR","STAT5A",1
"BCR","STAT5B",1
"BCR","CBLC",1
"BCR","CBL",1
"BCR","CBLB",1
"BDKRB1","GNG12",1
"BDKRB1","GNA11",1
"BDKRB1","GNA15",1
"BDKRB1","GNAQ",1
"BDKRB1","GNA14",1
"BDKRB2","GNG12",1
"BDKRB2","GNA11",1
"BDKRB2","GNA15",1
"BDKRB2","GNAQ",1
"BDKRB2","GNA14",1
"BDNF","NTRK1",1
"BDNF","NTRK2",1
"BIRC2","CASP3",-1
"BIRC2","CASP9",-1
"BIRC2","CASP7",-1
"BIRC3","CASP3",-1
"BIRC3","CASP9",-1
"BIRC3","CASP7",-1
"BIRC5","CASP3",-1
"BIRC5","CASP9",-1
"BIRC5","CASP7",-1
"BLNK","PLCG2",1
"BMP2","BMPR2",1
"BMP2","ACVR1",1
"BMP2","BMPR1A",1
"BMP2","BMPR1B",1
"BMP2","AMHR2",1
"BMP4","BMPR2",1
"BMP4","AMHR2",1
"BMP5","BMPR2",1
"BMP5","AMHR2",1
"BMP6","BMPR2",1
"BMP6","AMHR2",1
"BMP7","BMPR2",1
"BMP7","ACVR2A",1
"BMP7","BMPR1B",1
"BMP7","AMHR2",1
"BMP8A","BMPR2",1
"BMP8A","AMHR2",1
"BMP8B","BMPR2",1
"BMP8B","AMHR2",1
"BRK1","ARPC5",1
"BRK1","ARPC4",1
"BRK1","ARPC3",1
"BRK1","ARPC1B",1
"BRK1","ARPC2",1
"BRK1","ARPC1A",1
"BRK1","ARPC5L",1
"BTC","EGFR",1
"BTC","ERBB4",1
"BTK","CHUK",1
"BTK","IKBKB",1
"BTK","IKBKG",1
"BTK","PLCG2",1
"BTRC","FBXO5",-1
"BTRC","FBXO43",-1
"BUB1","MAD2L2",1
"BUB1","MAD2L1",1
"BUB1B","ANAPC10",-1
"BUB1B","CDC26",-1
"BUB1B","ANAPC13",-1
"BUB1B","ANAPC2",-1
"BUB1B","ANAPC4",-1
"BUB1B","ANAPC5",-1
"BUB1B","ANAPC7",-1
"BUB1B","ANAPC11",-1
"BUB1B","ANAPC1",-1
"BUB1B","CDC23",-1
"BUB1B","CDC16",-1
"BUB1B","CDC27",-1
"BUB3","ANAPC10",-1
"BUB3","CDC26",-1
"BUB3","ANAPC13",-1
"BUB3","ANAPC2",-1
"BUB3","ANAPC4",-1
"BUB3","ANAPC5",-1
"BUB3","ANAPC7",-1
"BUB3","ANAPC11",-1
"BUB3","ANAPC1",-1
"BUB3","CDC23",-1
"BUB3","CDC16",-1
"BUB3","CDC27",-1
"CALM1","PPP3CA",1
"CALM1","PPP3CB",1
"CALM1","PPP3CC",1
"CALM1","PPP3R1",1
"CALM1","PPP3R2",1
"CALM1","CAMK2A",1
"CALM1","CAMK2B",1
"CALM1","CAMK2D",1
"CALM1","CAMK2G",1
"CALM1","ADCY1",1
"CALM1","ADCY3",1
"CALM1","ADCY8",1
"CALM1","PDE1A",1
"CALM1","PDE1C",1
"CALM1","PDE1B",1
"CALM1","MYLK4",1
"CALM1","MYLK",1
"CALM1","MYLK2",1
"CALM1","MYLK3",1
"CALM2","PPP3CA",1
"CALM2","PPP3CB",1
"CALM2","PPP3CC",1
"CALM2","PPP3R1",1
"CALM2","PPP3R2",1
"CALM2","CAMK2A",1
"CALM2","CAMK2B",1
"CALM2","CAMK2D",1
"CALM2","CAMK2G",1
"CALM2","ADCY1",1
"CALM2","ADCY3",1
"CALM2","ADCY8",1
"CALM2","PDE1A",1
"CALM2","PDE1C",1
"CALM2","PDE1B",1
"CALM2","MYLK4",1
"CALM2","MYLK",1
"CALM2","MYLK2",1
"CALM2","MYLK3",1
"CALM3","PPP3CA",1
"CALM3","PPP3CB",1
"CALM3","PPP3CC",1
"CALM3","PPP3R1",1
"CALM3","PPP3R2",1
"CALM3","CAMK2A",1
"CALM3","CAMK2B",1
"CALM3","CAMK2D",1
"CALM3","CAMK2G",1
"CALM3","ADCY1",1
"CALM3","ADCY3",1
"CALM3","ADCY8",1
"CALM3","PDE1A",1
"CALM3","PDE1C",1
"CALM3","PDE1B",1
"CALM3","MYLK4",1
"CALM3","MYLK",1
"CALM3","MYLK2",1
"CALM3","MYLK3",1
"CALML3","PPP3CA",1
"CALML3","PPP3CB",1
"CALML3","PPP3CC",1
"CALML3","PPP3R1",1
"CALML3","PPP3R2",1
"CALML3","CAMK2A",1
"CALML3","CAMK2B",1
"CALML3","CAMK2D",1
"CALML3","CAMK2G",1
"CALML3","ADCY1",1
"CALML3","ADCY3",1
"CALML3","ADCY8",1
"CALML3","PDE1A",1
"CALML3","PDE1C",1
"CALML3","PDE1B",1
"CALML3","MYLK4",1
"CALML3","MYLK",1
"CALML3","MYLK2",1
"CALML3","MYLK3",1
"CALML5","PPP3CA",1
"CALML5","PPP3CB",1
"CALML5","PPP3CC",1
"CALML5","PPP3R1",1
"CALML5","PPP3R2",1
"CALML5","CAMK2A",1
"CALML5","CAMK2B",1
"CALML5","CAMK2D",1
"CALML5","CAMK2G",1
"CALML5","ADCY1",1
"CALML5","ADCY3",1
"CALML5","ADCY8",1
"CALML5","PDE1A",1
"CALML5","PDE1C",1
"CALML5","PDE1B",1
"CALML5","MYLK4",1
"CALML5","MYLK",1
"CALML5","MYLK2",1
"CALML5","MYLK3",1
"CALML6","PPP3CA",1
"CALML6","PPP3CB",1
"CALML6","PPP3CC",1
"CALML6","PPP3R1",1
"CALML6","PPP3R2",1
"CALML6","CAMK2A",1
"CALML6","CAMK2B",1
"CALML6","CAMK2D",1
"CALML6","CAMK2G",1
"CALML6","ADCY1",1
"CALML6","ADCY3",1
"CALML6","ADCY8",1
"CALML6","PDE1A",1
"CALML6","PDE1C",1
"CALML6","PDE1B",1
"CALML6","MYLK4",1
"CALML6","MYLK",1
"CALML6","MYLK2",1
"CALML6","MYLK3",1
"CAMK2A","CDC25C",-1
"CAMK2A","FBXO43",-1
"CAMK2B","CDC25C",-1
"CAMK2B","FBXO43",-1
"CAMK2D","CDC25C",-1
"CAMK2D","FBXO43",-1
"CAMK2G","CDC25C",-1
"CAMK2G","FBXO43",-1
"CAPN1","CASP12",1
"CAPN2","CASP12",1
"CAPN2","TLN1",-1
"CAPN2","TLN2",-1
"CASP12","CASP3",1
"CASP12","CASP7",1
"CASP2","BID",1
"CASP3","STK3",1
"CASP3","STK4",1
"CASP3","PAK1",1
"CASP3","PAK2",1
"CASP3","MAP3K1",1
"CASP3","PARP1",-1
"CASP3","ACTB",-1
"CASP3","ACTG1",-1
"CASP3","DFFA",-1
"CASP3","SPTA1",-1
"CASP3","SPTAN1",-1
"CASP3","PARP2",-1
"CASP3","PARP3",-1
"CASP3","PARP4",-1
"CASP3","DCC",1
"CASP6","ACTB",-1
"CASP6","ACTG1",-1
"CASP6","LMNA",-1
"CASP6","LMNB1",-1
"CASP6","LMNB2",-1
"CASP7","PARP1",-1
"CASP7","ACTB",-1
"CASP7","ACTG1",-1
"CASP7","PARP2",-1
"CASP7","PARP3",-1
"CASP7","PARP4",-1
"CASP8","CASP3",1
"CASP8","BID",1
"CASP8","CASP7",1
"CASP8","CASP6",1
"CASP9","CASP3",1
"CASP9","PARP1",-1
"CASP9","CASP7",1
"CASP9","CASP6",1
"CASP9","PARP2",-1
"CASP9","PARP3",-1
"CASP9","PARP4",-1
"CAV1","FYN",1
"CAV2","FYN",1
"CAV3","FYN",1
"CBL","PIK3R5",1
"CBL","PIK3CA",1
"CBL","PIK3CB",1
"CBL","PIK3CD",1
"CBL","PIK3CG",1
"CBL","PIK3R1",1
"CBL","PIK3R2",1
"CBL","PIK3R3",1
"CBLB","PIK3R5",1
"CBLB","PIK3CA",1
"CBLB","PIK3CB",1
"CBLB","PIK3CD",1
"CBLB","PIK3CG",1
"CBLB","PIK3R1",1
"CBLB","PIK3R2",1
"CBLB","PIK3R3",1
"CBLC","PIK3R5",1
"CBLC","PIK3CA",1
"CBLC","PIK3CB",1
"CBLC","PIK3CD",1
"CBLC","PIK3CG",1
"CBLC","PIK3R1",1
"CBLC","PIK3R2",1
"CBLC","PIK3R3",1
"CCKAR","GNA11",1
"CCKAR","GNA15",1
"CCKAR","GNAQ",1
"CCKAR","GNA14",1
"CCKBR","GNA11",1
"CCKBR","GNA15",1
"CCKBR","GNAQ",1
"CCKBR","GNA14",1
"CCL1","CCR8",1
"CCL11","CCR3",1
"CCL13","CCR3",1
"CCL13","CCR2",1
"CCL14","CCR1",1
"CCL15","CCR3",1
"CCL15","CCR1",1
"CCL16","CCR1",1
"CCL17","CCR4",1
"CCL19","CCR7",1
"CCL2","CCR2",1
"CCL20","CCR6",1
"CCL21","CCR7",1
"CCL22","CCR4",1
"CCL23","CCR1",1
"CCL24","CCR3",1
"CCL25","CCR9",1
"CCL26","CCR3",1
"CCL27","CCR10",1
"CCL28","CCR10",1
"CCL28","CCR3",1
"CCL3","CCR5",1
"CCL3L1","CCR5",1
"CCL3L3","CCR5",1
"CCL4","CCR5",1
"CCL4L1","CCR5",1
"CCL4L2","CCR5",1
"CCL5","CCR3",1
"CCL5","CCR1",1
"CCL5","CCR5",1
"CCL7","CCR1",1
"CCL7","CCR2",1
"CCL8","CCR3",1
"CCNA1","RB1",1
"CCNA1","CDC6",-1
"CCNA1","E2F1",-1
"CCNA1","E2F2",-1
"CCNA1","E2F3",-1
"CCNA2","RB1",1
"CCNA2","CDC6",-1
"CCNA2","E2F1",-1
"CCNA2","E2F2",-1
"CCNA2","E2F3",-1
"CCNB1","PLK1",1
"CCNB1","FBXO43",-1
"CCNB2","PLK1",1
"CCNB2","CDC25C",1
"CCNB2","CPEB2",1
"CCNB2","CPEB3",1
"CCNB2","CPEB1",1
"CCNB2","CPEB4",1
"CCNB2","SLK",1
"CCNB3","PLK1",1
"CCND1","RB1",-1
"CCND1","RBL1",-1
"CCND1","RBL2",-1
"CCND2","RB1",-1
"CCND2","RBL1",-1
"CCND2","RBL2",-1
"CCND3","RB1",-1
"CCND3","RBL1",-1
"CCND3","RBL2",-1
"CCNE1","CDKN1B",-1
"CCNE1","ANAPC10",-1
"CCNE1","CDC26",-1
"CCNE1","ANAPC13",-1
"CCNE1","ANAPC2",-1
"CCNE1","ANAPC4",-1
"CCNE1","ANAPC5",-1
"CCNE1","ANAPC7",-1
"CCNE1","ANAPC11",-1
"CCNE1","ANAPC1",-1
"CCNE1","CDC23",-1
"CCNE1","CDC16",-1
"CCNE1","CDC27",-1
"CCNE1","RB1",-1
"CCNE1","CDKN1C",-1
"CCNE2","CDKN1B",-1
"CCNE2","ANAPC10",-1
"CCNE2","CDC26",-1
"CCNE2","ANAPC13",-1
"CCNE2","ANAPC2",-1
"CCNE2","ANAPC4",-1
"CCNE2","ANAPC5",-1
"CCNE2","ANAPC7",-1
"CCNE2","ANAPC11",-1
"CCNE2","ANAPC1",-1
"CCNE2","CDC23",-1
"CCNE2","CDC16",-1
"CCNE2","CDC27",-1
"CCNE2","RB1",-1
"CCNE2","CDKN1C",-1
"CCNH","CDK1",1
"CCNH","CDK2",1
"CD14","GNA12",1
"CD14","TLR4",1
"CD14","GNA13",1
"CD274","PDCD1",1
"CD274","CD80",1
"CD28","CD80",1
"CD40LG","CD40",1
"CD58","CD2",1
"CD70","CD27",1
"CD80","CD274",1
"CD80","CD28",1
"CD80","CTLA4",1
"CD86","CD28",1
"CD86","CTLA4",1
"CDC14A","FZR1",1
"CDC14A","ANAPC10",1
"CDC14A","CDC26",1
"CDC14A","ANAPC13",1
"CDC14A","ANAPC2",1
"CDC14A","ANAPC4",1
"CDC14A","ANAPC5",1
"CDC14A","ANAPC7",1
"CDC14A","ANAPC11",1
"CDC14A","ANAPC1",1
"CDC14A","CDC23",1
"CDC14A","CDC16",1
"CDC14A","CDC27",1
"CDC14B","FZR1",1
"CDC14B","ANAPC10",1
"CDC14B","CDC26",1
"CDC14B","ANAPC13",1
"CDC14B","ANAPC2",1
"CDC14B","ANAPC4",1
"CDC14B","ANAPC5",1
"CDC14B","ANAPC7",1
"CDC14B","ANAPC11",1
"CDC14B","ANAPC1",1
"CDC14B","CDC23",1
"CDC14B","CDC16",1
"CDC14B","CDC27",1
"CDC16","FZR1",1
"CDC16","ANAPC10",1
"CDC16","CDC26",1
"CDC16","ANAPC13",1
"CDC16","ANAPC2",1
"CDC16","ANAPC4",1
"CDC16","ANAPC5",1
"CDC16","ANAPC7",1
"CDC16","ANAPC11",1
"CDC16","ANAPC1",1
"CDC16","CDC23",1
"CDC16","CDC16",1
"CDC16","CDC27",1
"CDC16","CDK1",-1
"CDC16","PTTG2",-1
"CDC16","PTTG1",-1
"CDC16","CCNB3",-1
"CDC16","CCNB1",-1
"CDC16","CCNB2",-1
"CDC20","FZR1",1
"CDC20","ANAPC10",1
"CDC20","CDC26",1
"CDC20","ANAPC13",1
"CDC20","ANAPC2",1
"CDC20","ANAPC4",1
"CDC20","ANAPC5",1
"CDC20","ANAPC7",1
"CDC20","ANAPC11",1
"CDC20","ANAPC1",1
"CDC20","CDC23",1
"CDC20","CDC16",1
"CDC20","CDC27",1
"CDC20","PTTG2",-1
"CDC20","PTTG1",-1
"CDC20","CCNB1",-1
"CDC20","CCNB2",-1
"CDC23","FZR1",1
"CDC23","ANAPC10",1
"CDC23","CDC26",1
"CDC23","ANAPC13",1
"CDC23","ANAPC2",1
"CDC23","ANAPC4",1
"CDC23","ANAPC5",1
"CDC23","ANAPC7",1
"CDC23","ANAPC11",1
"CDC23","ANAPC1",1
"CDC23","CDC23",1
"CDC23","CDC16",1
"CDC23","CDC27",1
"CDC23","CDK1",-1
"CDC23","PTTG2",-1
"CDC23","PTTG1",-1
"CDC23","CCNB3",-1
"CDC23","CCNB1",-1
"CDC23","CCNB2",-1
"CDC25A","CDK1",1
"CDC25A","CDK2",1
"CDC25A","CDK4",1
"CDC25A","CDK6",1
"CDC25B","CDK1",1
"CDC25C","CDK1",1
"CDC26","FZR1",1
"CDC26","ANAPC10",1
"CDC26","CDC26",1
"CDC26","ANAPC13",1
"CDC26","ANAPC2",1
"CDC26","ANAPC4",1
"CDC26","ANAPC5",1
"CDC26","ANAPC7",1
"CDC26","ANAPC11",1
"CDC26","ANAPC1",1
"CDC26","CDC23",1
"CDC26","CDC16",1
"CDC26","CDC27",1
"CDC26","CDK1",-1
"CDC26","PTTG2",-1
"CDC26","PTTG1",-1
"CDC26","CCNB3",-1
"CDC26","CCNB1",-1
"CDC26","CCNB2",-1
"CDC27","FZR1",1
"CDC27","ANAPC10",1
"CDC27","CDC26",1
"CDC27","ANAPC13",1
"CDC27","ANAPC2",1
"CDC27","ANAPC4",1
"CDC27","ANAPC5",1
"CDC27","ANAPC7",1
"CDC27","ANAPC11",1
"CDC27","ANAPC1",1
"CDC27","CDC23",1
"CDC27","CDC16",1
"CDC27","CDC27",1
"CDC27","CDK1",-1
"CDC27","PTTG2",-1
"CDC27","PTTG1",-1
"CDC27","CCNB3",-1
"CDC27","CCNB1",-1
"CDC27","CCNB2",-1
"CDC42","MAPK14",1
"CDC42","MAPK11",1
"CDC42","MAPK13",1
"CDC42","MAPK12",1
"CDC42","RAC1",1
"CDC42","RAC2",1
"CDC42","RAC3",1
"CDC42","PAK1",1
"CDC42","PAK2",1
"CDC42","MAP3K1",1
"CDC42","PAK4",1
"CDC42","PAK3",1
"CDC42","PAK6",1
"CDC42","PAK7",1
"CDC42","PARD6A",1
"CDC42","PARD6G",1
"CDC42","PARD6B",1
"CDC42","WAS",1
"CDC42","WASL",1
"CDC42","ACTB",1
"CDC42","ACTG1",1
"CDC42","IQGAP1",1
"CDC42","DIAPH3",1
"CDC42","IQGAP2",1
"CDC42","IQGAP3",1
"CDC7","MCM2",1
"CDC7","MCM3",1
"CDC7","MCM4",1
"CDC7","MCM5",1
"CDC7","MCM6",1
"CDC7","MCM7",1
"CDH1","CDH1",1
"CDH2","CDH2",1
"CDH4","CDH4",1
"CDK1","PLK1",1
"CDK1","RB1",1
"CDK1","CDC25C",1
"CDK1","FBXO43",-1
"CDK1","CPEB2",1
"CDK1","CPEB3",1
"CDK1","CPEB1",1
"CDK1","CPEB4",1
"CDK1","SLK",1
"CDK1","GJA1",-1
"CDK1","GJD2",-1
"CDK2","CDKN1B",-1
"CDK2","ANAPC10",-1
"CDK2","CDC26",-1
"CDK2","ANAPC13",-1
"CDK2","ANAPC2",-1
"CDK2","ANAPC4",-1
"CDK2","ANAPC5",-1
"CDK2","ANAPC7",-1
"CDK2","ANAPC11",-1
"CDK2","ANAPC1",-1
"CDK2","CDC23",-1
"CDK2","CDC16",-1
"CDK2","CDC27",-1
"CDK2","RB1",-1
"CDK2","CDKN1C",-1
"CDK2","CDC25C",1
"CDK2","CDC6",-1
"CDK2","E2F1",-1
"CDK2","E2F2",-1
"CDK2","E2F3",-1
"CDK4","RB1",-1
"CDK4","RBL1",-1
"CDK4","RBL2",-1
"CDK6","RB1",-1
"CDK6","RBL1",-1
"CDK6","RBL2",-1
"CDK7","CDK1",1
"CDK7","CDK2",1
"CDKN1A","CCNA2",-1
"CDKN1A","CCNA1",-1
